iter	Passed	Remaining
0	158	158781
1	159	79829
2	160	53430
3	161	40269
4	162	32353
5	163	27070
6	164	23292
7	165	20460
8	165	18269
9	166	16496
10	167	15044
11	168	13833
12	168	12806
13	169	11929
14	170	11166
15	170	10498
16	171	9908
17	172	9385
18	172	8918
19	173	8497
20	174	8114
21	174	7766
22	175	7447
23	175	7154
24	176	6888
25	177	6641
26	178	6418
27	178	6209
28	179	6012
29	180	5826
30	180	5651
31	181	5487
32	182	5333
33	182	5189
34	183	5054
35	183	4927
36	184	4810
37	185	4696
38	186	4585
39	186	4481
40	187	4380
41	187	4287
42	188	4196
43	189	4109
44	189	4030
45	190	3956
46	191	3885
47	192	3812
48	192	3742
49	193	3676
50	194	3612
51	194	3549
52	195	3489
53	196	3433
54	196	3380
55	197	3327
56	198	3276
57	198	3225
58	199	3176
59	199	3129
60	200	3083
61	200	3039
62	201	2996
63	202	2958
64	203	2920
65	203	2883
66	204	2846
67	205	2810
68	205	2775
69	206	2740
70	206	2707
71	207	2675
72	208	2646
73	209	2616
74	209	2586
75	210	2558
76	211	2529
77	211	2502
78	212	2474
79	212	2448
80	213	2423
81	214	2401
82	214	2373
83	215	2350
84	216	2326
85	216	2303
86	217	2281
87	217	2258
88	218	2236
89	219	2216
90	219	2195
91	220	2177
92	221	2158
93	222	2140
94	222	2122
95	223	2103
96	223	2085
97	224	2067
98	225	2050
99	225	2033
100	226	2016
101	227	2000
102	228	1986
103	228	1970
104	229	1955
105	230	1940
106	230	1925
107	231	1909
108	231	1895
109	232	1880
110	233	1868
111	233	1855
112	234	1841
113	235	1829
114	235	1815
115	236	1802
116	236	1788
117	237	1776
118	238	1764
119	239	1753
120	239	1742
121	240	1730
122	241	1719
123	241	1707
124	242	1696
125	242	1684
126	243	1672
127	243	1662
128	244	1651
129	245	1641
130	246	1632
131	246	1622
132	247	1612
133	247	1602
134	248	1592
135	249	1582
136	249	1573
137	250	1564
138	251	1555
139	251	1547
140	252	1537
141	252	1527
142	253	1518
143	254	1510
144	254	1501
145	255	1492
146	255	1484
147	256	1475
148	256	1467
149	257	1459
150	258	1452
151	258	1444
152	259	1436
153	260	1428
154	260	1421
155	261	1414
156	261	1406
157	262	1399
158	263	1392
159	263	1385
160	264	1377
161	264	1370
162	265	1363
163	266	1356
164	266	1349
165	267	1342
166	267	1336
167	268	1329
168	269	1323
169	269	1317
170	270	1310
171	270	1304
172	271	1298
173	272	1291
174	272	1285
175	273	1279
176	273	1273
177	274	1267
178	275	1261
179	275	1256
180	276	1251
181	277	1245
182	277	1240
183	278	1235
184	279	1230
185	279	1224
186	280	1219
187	281	1214
188	281	1208
189	282	1203
190	282	1198
191	283	1193
192	284	1188
193	284	1182
194	285	1177
195	285	1172
196	286	1168
197	287	1163
198	287	1158
199	288	1153
200	289	1149
201	289	1144
202	290	1139
203	290	1134
204	291	1130
205	292	1125
206	292	1121
207	293	1116
208	293	1112
209	294	1108
210	295	1104
211	295	1099
212	296	1095
213	297	1091
214	297	1087
215	298	1083
216	299	1079
217	299	1074
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	302	1055
223	303	1050
224	303	1046
225	304	1043
226	305	1039
227	305	1035
228	306	1031
229	307	1027
230	307	1024
231	308	1020
232	308	1016
233	309	1013
234	310	1009
235	310	1006
236	311	1002
237	311	998
238	312	995
239	313	991
240	313	988
241	314	984
242	315	981
243	315	977
244	316	974
245	316	971
246	317	967
247	318	964
248	318	960
249	319	957
250	319	954
251	320	951
252	321	948
253	321	944
254	322	941
255	322	938
256	323	935
257	324	932
258	324	929
259	325	926
260	326	923
261	326	920
262	327	917
263	328	914
264	328	911
265	329	908
266	329	905
267	330	902
268	331	899
269	331	896
270	332	893
271	332	891
272	333	888
273	334	885
274	334	882
275	335	879
276	335	876
277	336	873
278	337	870
279	337	868
280	338	865
281	338	862
282	339	859
283	339	856
284	340	854
285	341	851
286	341	848
287	342	846
288	342	843
289	343	840
290	344	838
291	344	835
292	345	833
293	345	830
294	346	827
295	347	825
296	347	822
297	348	820
298	348	817
299	349	815
300	350	813
301	350	810
302	351	808
303	351	805
304	352	803
305	353	800
306	353	798
307	354	796
308	354	793
309	355	791
310	356	789
311	356	787
312	357	784
313	358	782
314	358	779
315	359	777
316	359	775
317	360	773
318	361	770
319	361	768
320	362	766
321	363	764
322	363	762
323	364	759
324	364	757
325	365	755
326	365	753
327	366	750
328	367	748
329	367	746
330	368	744
331	368	742
332	369	740
333	370	737
334	371	736
335	371	734
336	372	732
337	373	730
338	374	729
339	374	727
340	375	725
341	376	723
342	376	721
343	377	719
344	378	717
345	378	716
346	379	714
347	380	712
348	380	710
349	381	709
350	382	707
351	383	706
352	384	704
353	385	703
354	386	701
355	387	701
356	388	699
357	389	698
358	390	697
359	391	696
360	392	694
361	393	693
362	394	691
363	395	690
364	396	689
365	397	687
366	398	686
367	399	685
368	400	684
369	401	682
370	402	681
371	403	680
372	404	679
373	405	678
374	407	678
375	408	677
376	409	675
377	409	674
378	410	673
379	411	671
380	412	670
381	413	669
382	414	668
383	415	667
384	417	666
385	418	666
386	419	665
387	420	664
388	422	662
389	423	662
390	424	661
391	425	659
392	426	658
393	427	656
394	428	655
395	429	654
396	430	653
397	431	652
398	432	651
399	433	649
400	433	647
401	434	646
402	435	645
403	436	643
404	436	641
405	437	640
406	438	639
407	440	638
408	440	637
409	441	635
410	442	633
411	442	632
412	443	630
413	444	629
414	445	627
415	445	625
416	446	624
417	447	623
418	448	622
419	449	620
420	449	618
421	450	617
422	451	616
423	452	615
424	453	614
425	454	612
426	455	610
427	455	609
428	456	608
429	457	606
430	458	605
431	459	604
432	460	603
433	461	602
434	462	601
435	463	600
436	464	598
437	465	597
438	466	596
439	467	595
440	468	594
441	470	593
442	471	592
443	472	591
444	473	590
445	474	589
446	475	588
447	476	587
448	477	586
449	478	585
450	479	583
451	480	582
452	481	581
453	482	580
454	483	579
455	484	578
456	485	577
457	486	576
458	488	575
459	489	574
460	490	573
461	491	572
462	492	571
463	493	569
464	494	568
465	495	567
466	496	566
467	497	565
468	498	564
469	499	563
470	500	562
471	501	561
472	502	560
473	504	559
474	504	558
475	505	556
476	506	555
